uf,rank_uf,municipio,regiao_turistica,vocacao,bioma,sazonalidade,relevancia_zion,nota
PR,11,Lapa,Rotas do Pinhão,histórico,Mata Atlântica,ano todo,media,"Cerco da Lapa; patrimônio militar"
PR,12,Piraquara,Rotas do Pinhão,serra e mananciais,Mata Atlântica,ano todo,alta,"Serra do Mar a 30 min de Curitiba"
PR,13,Campo Largo,Rotas do Pinhão,rural e cerâmica,Mata Atlântica,ano todo,media,"Rota dos Tropeiros"
PR,14,Carambeí,Campos Gerais,cultural holandesa,Mata Atlântica,ano todo,media,"Parque Histórico; colônia holandesa"
PR,15,Castro,Campos Gerais,rural e agro,Mata Atlântica,ano todo,media,"Witmarsum; agroturismo estruturado"
PR,16,Londrina,Norte do Paraná,urbano e negócios,Mata Atlântica,ano todo,baixa,"Demanda corporativa"
PR,17,Maringá,Norte do Paraná,urbano e eventos,Mata Atlântica,ano todo,baixa,"Demanda corporativa"
PR,18,Jaguariaíva,Campos Gerais,cânion e cerrado,Cerrado,ano todo,alta,"Cânion do Jaguariaíva; mancha de Cerrado no PR"
PR,19,Matinhos,Litoral do Paraná,praia,Mata Atlântica,verão,baixa,"Sazonalidade extrema"
PR,20,Quatro Barras,Rotas do Pinhão,serra e trilhas,Mata Atlântica,ano todo,alta,"Caminho do Itupava; Serra do Mar acessível"
